Breed,Weight,Height,Price,Lifespan,GoodWithKids,Trainability,Intelligence,Adaptability,CatFriendly,DogFriendly,Shedding,Hypoallergenic,Watchdog
"Pointer/Labrador Retriever",77,26,625,14,5,4,4,5,2,5,3,False,4
"Alaskan Husky Mix",90,24,700,19,3,3,3,5,2,5,3,False,2
"American Eskimo Mix",10,30,750,15,2,5,4,5,3,4,5,False,5
"Basenji Mix",26,17,1200,16,2,2,5,3,2,2,2,True,5
"Catahoula/Labrador Retriever",80,24,775,13,4,4,4,4,3,3,3,False,4
"Chesa Bay Retr Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Dachshund/Beagle",28,12,700,15,3,2,4,5,3,3,2,False,3
"English Bulldog",80,60,2500,14,3,3,3,3,3,3,3,False,3
"German Shepherd/Siberian Husky",74,24,1250,12,5,3,4,5,2,3,5,False,3
"Golden Retriever",63,23,2000,13,5,5,5,5,4,5,3,False,3
"Jack Russell Terrier/Chihuahua Shorthair",11,12,900,17,2,4,4,5,3,2,2,False,4
"Pomeranian",7,12,800,16,1,3,3,5,5,3,2,False,2
"Pug/Beagle",21,22,600,15,4,2,4,5,4,5,3,False,2
"Australian Cattle Dog/Pit Bull",50,21,650,14,3,3,4,4,2,2,2,False,5
"English Pointer Mix",75,28,250,15,5,3,4,5,1,5,3,False,5
"German Shepherd/Australian Cattle Dog",61,23,1050,12,5,5,5,4,3,2,4,False,5
"German Shepherd/Chow Chow",79,24,1350,12,3,3,4,3,2,1,5,False,4
"Great Pyrenees/Labrador Retriever",98,28,950,12,4,3,4,4,4,4,4,False,4
"Labrador Retriever/Anatol Shepherd",100,28,950,14,4,3,4,3,3,3,3,False,4
"Siberian Husky/German Shepherd",74,24,1250,12,5,3,4,5,2,3,5,False,3
"Standard Schnauzer Mix",44,50,1500,14,4,5,3,3,4,4,2,True,5
"Yorkshire Terrier/Chihuahua Shorthair",7,9,750,17,1,3,3,5,4,2,2,False,4
"Yorkshire Terrier/Miniature Poodle",9,34,1100,15,1,4,4,5,4,3,2,True,4
"Chihuahua Shorthair/Boston Terrier",15,13,800,16,3,3,3,5,5,4,1,False,3
"Chihuahua Shorthair/Cairn Terrier",11,11,900,16,2,3,3,4,4,3,2,False,4
"Chihuahua Shorthair/Yorkshire Terrier",7,9,750,17,1,3,3,5,4,2,2,False,4
"Great Dane",129,32,1200,12,3,3,3,3,3,3,3,False,5
"Labrador Retriever/Basset Hound",77,20,750,12,5,4,4,5,4,5,3,False,2
"Labrador Retriever/Catahoula",80,24,775,13,4,4,4,4,3,3,3,False,4
"Labrador Retriever/Chinese Sharpei",65,38,1250,12,3,4,4,4,3,3,2,False,3
"Labrador Retriever/Rottweiler",104,26,1500,11,3,4,5,4,3,3,3,False,4
"Lhasa Apso",15,28,600,14,5,3,3,5,5,5,4,False,3
"Rottweiler/Labrador Retriever",104,26,1500,11,3,4,5,4,3,3,3,False,4
"Vizsla Mix",63,64,1200,15,3,5,5,5,3,3,2,False,3
"Anatol Shepherd",121,31,900,15,3,2,3,2,2,1,3,False,5
"Anatol Shepherd/Labrador Retriever",100,28,950,14,4,3,4,3,3,3,3,False,4
"Beagle/Dachshund",28,12,700,15,3,2,4,5,3,3,2,False,3
"Beauceron Mix",100,28,1500,13,3,5,5,3,2,2,3,False,5
"Chihuahua Shorthair/Beagle",15,13,800,16,3,2,3,5,4,4,2,False,2
"Labrador Retriever/Blue Lacy",62,23,975,13,4,4,4,4,3,4,3,False,3
"Pit Bull/Chinese Sharpei",58,36,1100,12,1,2,3,4,2,1,1,False,4
"Treeing Walker Coonhound Mix",68,69,600,13,4,2,3,3,1,3,3,False,1
"Australian Cattle Dog/German Shepherd",61,23,1050,12,5,5,5,4,3,2,4,False,5
"Border Collie/German Shepherd",66,24,1100,13,5,5,5,5,3,2,4,False,5
"Bulldog Mix",50,16,2000,12,5,3,3,5,5,5,3,True,5
"Cairn Terrier",17,13,1000,15,4,3,4,3,3,3,3,True,5
"Cavalier Span Mix",18,13,1500,14,3,4,4,5,3,5,3,False,2
"Chihuahua Shorthair/Miniature Pinscher",8,19,700,16,2,3,4,4,4,2,1,False,4
"Collie Rough Mix",63,56,600,16,5,5,5,4,5,5,5,False,5
"Dachshund Wirehair/Chihuahua Shorthair",19,9,700,16,1,2,3,5,4,2,1,False,4
"Dalmatian Mix",63,23,800,13,5,5,5,5,3,5,5,False,3
"Finnish Spitz Mix",28,20,700,14,4,3,4,3,4,3,4,False,3
"German Shepherd/Rottweiler",108,26,1750,10,3,4,5,4,3,1,4,False,5
"Greyhound",88,28,950,12,5,3,3,5,2,5,3,False,1
"Pit Bull/Catahoula",73,22,625,14,2,2,3,4,2,1,2,False,5
"Standard Poodle Mix",10,60,1500,15,2,5,5,5,4,4,1,True,5
"Beagle/Labrador Retriever",52,20,900,14,5,3,4,5,3,5,3,False,2
"Border Collie/Great Pyrenees",81,27,800,14,4,3,4,4,3,3,4,False,5
"Boston Terrier/Chihuahua Shorthair",15,13,800,16,3,3,3,5,5,4,1,False,3
"Chihuahua Longhair",6,10,800,18,1,3,3,5,5,3,1,False,4
"Chow Chow/Labrador Retriever",74,23,1100,14,3,3,4,3,3,3,4,False,3
"German Shepherd/Boxer",73,25,1350,11,4,4,4,4,3,2,4,False,5
"Pbgv Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"St. Bernard Smooth Coat Mix",264,90,1800,10,5,3,3,4,5,5,3,False,5
"Tibetan Spaniel Mix",15,25,900,15,4,3,3,5,5,5,3,False,5
"Australian Cattle Dog/Border Collie",39,21,650,15,5,5,5,4,3,3,3,False,5
"Beagle/German Shepherd",56,21,1150,12,5,3,4,5,3,3,4,False,3
"Dachshund Longhair",32,9,600,15,2,2,4,5,3,2,1,False,5
"Dachshund/Manchester Terrier",27,25,625,15,2,2,4,5,3,2,2,False,5
"English Springer Spaniel Mix",48,20,700,14,3,3,4,5,3,5,3,False,3
"Great Dane/Labrador Retriever",104,28,1100,12,4,4,4,4,3,4,3,False,4
"Leonberger Mix",129,75,1400,9,5,3,3,5,3,4,4,False,5
"Miniature Poodle/Maltese",9,35,1150,15,1,4,4,5,4,4,1,True,4
"Pit Bull/Pointer",70,25,475,14,3,2,3,5,1,3,2,False,5
"Tibetan Terrier Mix",24,16,1600,15,4,4,4,5,4,4,1,True,3
"Toy Fox Terrier Mix",9,29,800,14,3,5,5,5,5,3,3,False,4
"Yorkshire Terrier/Miniature Schnauzer",14,11,850,15,2,4,4,5,3,2,2,True,4
"American Bulldog",120,71,900,14,3,3,3,3,3,3,3,False,3
"Border Terrier/Chihuahua Shorthair",10,13,900,16,3,4,3,5,3,2,1,False,4
"Brittany Mix",39,20,800,15,5,5,5,5,3,5,2,False,3
"Bull Terrier",85,55,1500,14,3,2,4,4,2,2,3,False,5
"Bullmastiff Mix",129,27,1500,10,3,3,3,3,1,1,3,False,5
"Catahoula/Pit Bull",73,22,625,14,2,2,3,4,2,1,2,False,5
"Chinese Sharpei",52,51,1500,11,1,3,4,3,3,2,2,False,3
"Chow Chow",70,22,1200,15,2,2,3,2,2,1,5,False,3
"Cocker Spaniel/Labrador Retriever",54,20,900,14,5,4,4,5,3,5,3,False,3
"Dachshund Wirehair/Miniature Poodle",21,34,1050,15,2,3,4,5,3,3,1,False,5
"Dutch Shepherd Mix",66,24,1500,14,3,3,3,3,3,3,3,False,3
"English Coonhound Mix",63,27,950,12,3,3,3,3,3,3,3,False,3
"Greyhound Mix",88,28,950,12,5,3,3,5,2,5,3,False,1
"Irish Terrier Mix",27,45,700,14,4,2,4,5,2,2,2,True,5
"Jack Russell Terrier/Australian Cattle Dog",26,17,800,15,4,5,5,4,2,2,3,False,5
"Labrador Retriever/Golden Retriever",71,24,1500,13,5,5,5,5,4,5,3,False,3
"Rottweiler/German Shepherd",108,26,1750,10,3,4,5,4,3,1,4,False,5
"Schipperke Mix",19,30,800,15,4,4,4,5,4,3,2,False,3
"St. Bernard Rough Coat Mix",264,90,1800,10,5,3,3,4,5,5,3,False,5
"Staffordshire",35,41,1800,14,3,2,4,3,1,2,3,False,3
"Toy Poodle",10,60,1500,15,2,5,5,5,4,4,1,True,5
"American Bulldog/Pit Bull",92,46,800,14,2,2,3,4,2,2,2,False,4
"Australian Shepherd/Border Collie",56,22,650,15,5,5,4,5,3,3,3,False,5
"Beagle/Pug",21,22,600,15,4,2,4,5,4,5,3,False,2
"Bichon Frise",20,12,600,15,3,3,4,5,5,5,1,True,3
"Bluetick Hound Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Catahoula",81,23,550,14,3,3,4,3,3,2,3,False,5
"Catahoula/Australian Cattle Dog",58,21,575,14,4,4,4,3,3,2,3,False,5
"Chihuahua Shorthair/Pomeranian",6,11,800,17,1,3,3,5,5,3,1,False,3
"Chinese Sharpei/Labrador Retriever",65,38,1250,12,3,4,4,4,3,3,2,False,3
"Cocker Spaniel/Miniature Poodle",20,38,1150,15,3,4,4,5,3,4,2,False,4
"Collie Smooth/Labrador Retriever",77,43,1000,14,5,5,4,4,4,5,4,False,4
"Dachshund/Rat Terrier",28,13,550,16,3,3,4,5,3,3,2,False,5
"Feist Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"French Bulldog Mix",28,12,2300,12,2,3,3,5,2,2,2,False,2
"German Shepherd/Mastiff",128,31,1500,11,5,4,4,5,4,2,4,False,5
"Golden Retriever/Chow Chow",66,22,1600,14,3,3,4,3,3,3,4,False,3
"Golden Retriever/Labrador Retriever",71,24,1500,13,5,5,5,5,4,5,3,False,3
"Jack Russell Terrier/Beagle",21,15,900,15,4,3,4,5,2,3,3,False,3
"Jack Russell Terrier/Dachshund",24,11,800,15,2,3,4,5,2,1,2,False,5
"Lhasa Apso/Miniature Poodle",12,44,1050,14,3,4,4,5,4,4,2,False,4
"Miniature Poodle/Cocker Spaniel",20,38,1150,15,3,4,4,5,3,4,2,False,4
"Miniature Schnauzer/Yorkshire Terrier",14,11,850,15,2,4,4,5,3,2,2,True,4
"Patterdale Terr Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Pekingese",14,9,600,15,1,2,3,5,5,3,3,False,4
"Rhod Ridgeback/Labrador Retriever",82,45,1100,12,5,4,5,4,3,3,2,False,2
"Siberian Husky/Labrador Retriever",69,24,1000,14,5,3,4,5,2,5,4,False,2
"Silky Terrier Mix",10,10,600,15,2,4,4,3,3,2,1,True,5
"Yorkshire Terrier/Cairn Terrier",12,11,850,15,2,3,4,4,3,2,3,True,4
"Airedale Terrier Mix",65,23,750,12,4,4,4,5,1,1,3,True,5
"Anatol Shepherd/Great Pyrenees",119,31,900,13,3,2,3,3,3,2,4,False,5
"Australian Cattle Dog/Beagle",30,18,700,15,5,3,4,4,3,4,3,False,3
"Australian Cattle Dog/Pointer",55,24,425,15,5,4,4,4,2,4,3,False,5
"Australian Kelpie",46,20,600,14,3,5,4,5,3,3,3,False,5
"Australian Shepherd/Anatol Shepherd",94,27,750,15,4,3,3,3,2,2,3,False,5
"Bloodhound Mix",99,25,1200,12,5,3,4,3,5,5,5,False,1
"Boxer/Catahoula",70,23,875,13,3,3,4,3,3,2,3,False,5
"Cardigan Welsh Corgi/Australian Cattle Dog",34,16,900,15,5,5,5,4,4,3,4,False,5
"Chihuahua Shorthair/Border Terrier",10,13,900,16,3,4,3,5,3,2,1,False,4
"Chihuahua Shorthair/Italian Greyhound",10,12,750,16,1,2,3,5,4,3,1,False,4
"Chihuahua Shorthair/Manchester Terrier",14,26,725,17,2,3,3,5,4,3,2,False,4
"Dogue De Bordeaux Mix",143,26,1300,12,3,3,3,3,3,2,3,False,5
"German Shepherd/Border Collie",66,24,1100,13,5,5,5,5,3,2,4,False,5
"Great Pyrenees/Border Collie",81,27,800,14,4,3,4,4,3,3,4,False,5
"Keeshond Mix",45,18,1100,15,4,4,3,5,4,4,5,False,5
"Labrador Retriever/Australian Kelpie",62,22,800,13,4,5,4,5,3,4,3,False,4
"Labrador Retriever/Siberian Husky",69,24,1000,14,5,3,4,5,2,5,4,False,2
"Mastiff/Chinese Sharpei",110,43,1500,11,3,3,3,4,4,2,2,False,4
"Pbgv",50,25,800,14,3,3,4,4,3,3,3,False,3
"Pit Bull/Chihuahua Shorthair",35,16,750,16,1,2,3,5,3,2,1,False,4
"Plott Hound",55,58,300,14,4,3,4,3,2,3,3,False,5
"Pomeranian/Chihuahua Longhair",6,11,800,17,1,3,3,5,5,3,1,False,3
"Shih Tzu/Miniature Poodle",13,44,1350,15,2,4,4,5,4,4,1,True,4
"Swedish Vallhund Mix",30,34,1000,14,5,5,3,5,5,3,5,False,5
"Welsh Terrier Mix",22,37,800,15,4,3,4,5,2,2,1,True,5
"Yorkshire Terrier/Chihuahua Longhair",7,9,750,17,1,3,3,5,4,2,2,False,4
"Affenpinscher Mix",13,12,500,14,1,3,3,2,3,3,2,True,5
"Alaskan Malamute Mix",83,24,1500,16,4,2,3,3,1,1,5,False,5
"American Pit Bull Terrier",65,22,700,14,2,2,3,5,1,1,1,False,5
"Australian Shepherd/Australian Cattle Dog",51,21,600,15,5,5,4,4,3,3,3,False,5
"Bernese Mountain Dog Mix",110,28,1000,8,3,3,3,3,3,3,4,False,5
"Black Mouth Cur",95,25,350,16,3,3,3,3,3,3,3,False,3
"Blue Lacy/American Bulldog",82,46,925,14,3,3,3,3,3,3,3,False,3
"Boerboel Mix",175,28,1700,12,3,3,3,3,3,3,3,False,3
"Border Collie/Australian Cattle Dog",39,21,650,15,5,5,5,4,3,3,3,False,5
"Cairn Terrier/Yorkshire Terrier",12,11,850,15,2,3,4,4,3,2,3,True,4
"Catahoula/Pointer",78,25,400,14,4,3,4,4,2,3,3,False,5
"Chihuahua Shorthair/Dachshund Wirehair",19,9,700,16,1,2,3,5,4,2,1,False,4
"Chihuahua Shorthair/Pit Bull",35,16,750,16,1,2,3,5,3,2,1,False,4
"Chinese Crested Mix",11,12,900,14,3,4,3,3,4,3,1,True,3
"Chow Chow/German Shepherd",79,24,1350,12,3,3,4,3,2,1,5,False,4
"Dachshund Wirehair/Border Terrier",23,12,800,15,3,3,4,5,2,2,1,False,5
"Dachshund/Labrador Retriever",55,17,800,14,3,3,4,5,3,3,2,False,4
"Dachshund/Pit Bull",48,15,650,14,2,2,3,5,2,1,1,False,5
"English Foxhound Mix",75,25,950,13,5,4,3,4,2,5,3,False,1
"Flat Coat Retriever/Papillon",40,17,750,12,4,4,5,5,2,3,2,False,5
"German Shepherd/Alaskan Husky",89,25,1100,14,4,4,4,5,2,3,4,False,3
"Labrador Retriever/Doberman Pinsch",89,19,1000,13,4,5,5,5,3,3,3,False,4
"Labrador Retriever/Great Dane",104,28,1100,12,4,4,4,4,3,4,3,False,4
"Labrador Retriever/Rhod Ridgeback",82,45,1100,12,5,4,5,4,3,3,2,False,2
"Landseer Mix",118,31,2200,11,3,3,3,3,3,3,3,False,3
"Miniature Poodle/Yorkshire Terrier",9,34,1100,15,1,4,4,5,4,3,2,True,4
"Newfoundland Mix",154,74,2000,10,5,3,4,4,5,4,5,False,5
"Pit Bull/Weimaraner",71,42,750,13,3,3,4,5,3,3,2,False,4
"Podengo Pequeno Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Scottish Terrier Mix",22,28,900,15,2,2,4,3,3,3,2,True,5
"Shetland Sheepdog",26,16,700,13,4,5,5,5,5,4,3,False,5
"Standard Poodle/Labrador Retriever",44,42,1250,14,3,5,5,5,4,4,2,False,4
"Treeing Cur Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"West Highland",20,16,1200,16,4,4,4,4,3,4,1,True,5
"Yorkshire Terrier/Rat Terrier",16,13,600,17,3,4,4,5,4,3,3,False,4
"American Foxhound Mix",63,24,550,12,5,3,3,5,2,5,1,False,1
"Australian Cattle Dog/Catahoula",58,21,575,14,4,4,4,3,3,2,3,False,5
"Australian Cattle Dog/Jack Russell Terrier",26,17,800,15,4,5,5,4,2,2,3,False,5
